date,region,service_type,shipment_volume,total_weight,total_revenue,fleet_vehicles_available,warehouse_capacity_used,labor_available,weather_impact,competitor_activity
2024-10-11,Midwest,Fleet Maintenance,85,199810.22070381785,23820.183759987787,89,61.90502323087127,89,None,Low
2023-10-22,West,Distribution Center Management,77,207402.15280306377,31291.627136390343,35,69.98374580550461,151,Moderate,Low
2024-02-12,Midwest,Supply Chain Solutions,120,238420.04218786262,31552.250929682075,79,62.96313653239116,65,Severe,Normal
2024-06-03,Northwest,Fleet Maintenance,237,367172.43931905087,59307.74064163776,65,73.99194518902429,65,None,Low
2024-05-24,Southwest,Transportation Management,340,492218.5266160528,127490.87342923401,73,76.27395399696354,82,Minor,Normal
2024-03-30,Northwest,Fleet Maintenance,100,160984.07784521926,43099.531243546764,86,89.45816868713761,110,None,Normal
2023-08-10,Southeast,Distribution Center Management,109,264506.05560125766,28691.072647392688,47,87.62675296766817,126,None,Low
2024-05-08,Southwest,Freight Management,127,231144.11170165875,25874.091100955495,61,53.258746803841206,102,None,Normal
2024-07-15,Southwest,Distribution Center Management,88,208367.23758815552,69946.86051136265,34,87.99097504441004,69,None,Normal
2024-04-02,Midwest,Dedicated Contract Carriage,215,458679.9281763712,112741.04746659833,36,41.002267366464594,113,None,Normal
2024-03-02,Northwest,Freight Management,139,391874.53345851536,48585.22367036366,31,79.50584152176926,154,None,Normal
2023-05-28,Southeast,Fleet Maintenance,105,271710.9536124311,34345.29220970616,31,68.24175766225044,191,None,Low
2023-07-11,Southwest,Distribution Center Management,173,379421.05010716425,69167.64016644144,65,40.62320604224678,143,None,Normal
2023-10-01,Northwest,Fleet Maintenance,81,134662.7583994293,28581.33324898905,49,75.7720526690362,176,Minor,Low
2024-04-06,Northwest,Freight Management,93,222996.35894652022,15935.869546954687,96,61.20158807599124,164,None,Normal
2024-02-17,Southwest,Distribution Center Management,131,270277.1525226817,63355.54626237549,57,36.213090660680244,80,None,Low
2024-01-23,Southeast,Supply Chain Solutions,215,547413.732037603,65553.01473606602,33,77.24402179015826,81,Moderate,Normal
2024-09-03,Northwest,Supply Chain Solutions,112,260160.75306824222,31788.204166725423,74,73.68742152013861,164,None,Normal
2023-01-09,Midwest,Supply Chain Solutions,225,357911.8595896723,70859.18820700426,29,76.18814698946478,126,None,Low
2024-09-07,Southeast,Transportation Management,86,131419.53371005555,38810.07761917998,28,53.12931925310578,197,Severe,Normal
2023-12-19,Northwest,Dedicated Contract Carriage,249,374488.3757966562,160149.36886750383,40,71.61090911405734,120,None,Low
2023-09-21,West,Fleet Maintenance,162,378428.8860076238,68861.00602820242,62,67.10887514900968,177,None,High
2024-11-28,West,Fleet Maintenance,163,425933.838781779,85874.82304367519,98,52.94955002803488,132,None,High
2023-05-18,Southeast,Distribution Center Management,266,424589.65963264456,189488.34827681095,52,80.44457422202184,94,Minor,Normal
2024-10-26,West,Distribution Center Management,56,118425.3368903232,21596.602971128774,34,47.97222545873972,103,None,Low
2024-10-19,Northwest,Dedicated Contract Carriage,79,164925.02742968817,46672.25814186612,54,45.769509802645594,166,None,Normal
2024-11-01,Midwest,Dedicated Contract Carriage,104,219676.8087246333,17225.910326784102,32,69.643157220093,194,Minor,Normal
2023-11-07,West,Distribution Center Management,147,210700.5018779976,49960.29970643287,67,74.65330310136096,62,None,Normal
2023-09-08,West,Distribution Center Management,75,184418.28153651798,37990.10070851217,69,60.13135667241446,153,None,Normal
2023-04-21,West,Dedicated Contract Carriage,232,560850.7858335553,68704.62574519997,42,36.435598630499534,180,Severe,Normal
2023-12-19,Northwest,Fleet Maintenance,217,351265.1829815053,90571.2389323426,74,88.68393946585765,186,None,High
2023-04-07,Northwest,Fleet Maintenance,233,364492.39559724735,70862.34824025857,43,51.13460030515875,167,Minor,Low
2023-01-27,Southeast,Dedicated Contract Carriage,228,482501.5440331751,74248.046407682,88,39.52218478691089,153,None,Normal
2024-10-15,Midwest,Transportation Management,83,193927.52462680527,23144.1662102307,61,78.15559988037334,122,None,Normal
2024-06-26,Southwest,Fleet Maintenance,166,366217.44891270174,120581.63074853511,77,77.00309028346275,54,None,High
2023-01-28,West,Dedicated Contract Carriage,130,278556.94303758314,71978.26282794529,83,75.60908526390024,99,None,High
2023-11-30,Southwest,Dedicated Contract Carriage,136,300692.3320639688,63751.78658157683,53,83.82408434187012,174,None,Normal
2024-03-25,West,Supply Chain Solutions,155,359502.8521178097,26522.903247575432,38,54.91674068072929,100,None,High
2023-08-20,Southwest,Transportation Management,67,143614.8582288047,18852.434818941543,23,35.61874921412449,152,None,High
2024-03-20,Northeast,Transportation Management,238,280956.3055541874,207827.67845353784,26,56.797555476563545,91,None,Low
2023-09-16,Northeast,Dedicated Contract Carriage,54,137958.21922823857,20668.032974248898,91,34.31169257996301,68,None,Normal
2023-12-13,Midwest,Fleet Maintenance,112,192567.98276899662,71332.50415699079,26,58.32894859568596,197,None,Normal
2023-10-31,Midwest,Supply Chain Solutions,157,315690.413534497,47955.73036374591,75,77.28184451322883,51,Minor,Normal
2024-06-24,Southeast,Supply Chain Solutions,202,400270.1216781957,49849.24334534527,78,54.13543409484055,124,None,Low
2023-03-12,Northeast,Supply Chain Solutions,120,261613.70827945432,16306.64147191602,35,57.02184998346629,144,Moderate,Normal
2024-04-21,West,Supply Chain Solutions,82,185696.0237488686,35608.815500290984,78,61.62125471786343,103,Minor,Normal
2024-02-27,Southeast,Transportation Management,286,373076.7912376591,42492.68045135656,25,83.9608144205094,192,None,Normal
2023-10-18,Southeast,Freight Management,173,391265.3186053359,30553.01205917939,75,71.2147040842945,84,None,Normal
2023-04-13,Southeast,Transportation Management,219,555115.7593272298,174795.67328566924,39,57.59081001147442,169,None,Low
2024-04-03,Southeast,Supply Chain Solutions,123,252993.53075682314,86983.966547322,50,58.57284581346583,193,Minor,Normal
2023-09-08,Southwest,Dedicated Contract Carriage,95,212535.44006962812,39340.11205025967,77,81.43011079044545,162,Minor,Normal
2024-08-22,Northeast,Fleet Maintenance,120,269183.9651284209,37311.79303783376,21,82.39449255399215,198,None,Normal
2023-02-24,Midwest,Distribution Center Management,337,676197.3554042408,81553.48596712161,99,51.208414059684294,179,None,Low
2023-03-08,West,Supply Chain Solutions,271,507906.03977720015,86635.48628310734,32,55.61474859813648,145,None,Low
2023-01-06,Midwest,Transportation Management,204,375475.0975456717,250154.16469458473,58,43.780667748009265,150,Moderate,Normal
2024-02-24,West,Freight Management,120,193307.62029386003,84500.12025761783,92,69.95739031099436,186,None,Low
2024-05-23,Northeast,Transportation Management,225,453535.2304164623,62154.47678162074,73,85.71138038285669,74,None,High
2023-08-19,Northeast,Supply Chain Solutions,81,153591.26494893903,61190.4335392309,51,71.96768431558884,95,None,High
2023-07-02,Southeast,Transportation Management,142,390377.93419354234,108109.72463214432,62,76.75597878826449,78,None,Low
2023-09-06,Northwest,Distribution Center Management,83,220364.7174386405,15731.561033937061,98,94.54134849134397,137,None,Normal
2024-03-31,Southeast,Transportation Management,112,104478.41924392658,28394.248365250674,61,82.21319868289834,148,Minor,Normal
2024-12-02,Northwest,Supply Chain Solutions,158,487206.7291646984,87295.72492979046,47,54.90244152629121,98,None,Low
2023-06-26,West,Distribution Center Management,295,670000.0827123171,165473.05513042898,85,64.49898949687227,136,None,Normal
2024-03-11,West,Supply Chain Solutions,160,354472.65460513625,35477.620456956116,27,70.5486363552768,170,None,Normal
2024-07-15,Northwest,Transportation Management,140,365663.68722539104,59667.311550840306,22,52.759513356812924,172,None,High
2024-06-23,Northeast,Freight Management,134,246477.89569850164,103133.0387814214,80,45.81515550912057,175,None,Normal
2024-06-19,Midwest,Dedicated Contract Carriage,150,339126.10027784563,41577.6371889938,33,91.93694297928296,161,None,Low
2023-07-04,Southeast,Dedicated Contract Carriage,178,359586.8103574645,72908.08766704689,26,72.0709560714475,192,Severe,Normal
2023-01-16,Southwest,Distribution Center Management,265,388877.76331219537,71919.47383651648,97,56.40962638497046,191,None,Normal
2024-04-23,Southwest,Distribution Center Management,190,292422.3896364274,112953.9429106304,57,55.71315056412294,104,Minor,Normal
2024-07-28,Northeast,Fleet Maintenance,88,180544.4120359083,34542.54563888666,96,51.14691096664553,116,None,Normal
2024-07-11,West,Distribution Center Management,125,434322.7679029877,41362.91446188879,85,59.31496826931867,158,None,Low
2023-11-21,West,Freight Management,187,430080.6957228379,85923.93028982855,51,30.42888292463421,158,None,Low
2023-09-07,Southeast,Distribution Center Management,150,153232.03046216248,76976.36744553524,72,41.83579569646712,190,None,Normal
2024-09-11,Southeast,Fleet Maintenance,122,204488.9804776972,39020.39448840164,23,84.66389659366915,69,Minor,Low
2024-03-31,Northeast,Dedicated Contract Carriage,117,312392.1414356017,65783.3599303895,24,49.136051863293716,146,None,High
2023-07-27,Midwest,Fleet Maintenance,175,297263.3622938241,46099.68021564601,55,72.94886223433087,174,None,Normal
2023-02-14,West,Transportation Management,263,773375.0279444618,32483.916631203458,55,82.8958924935654,178,Severe,Normal
2024-09-24,Southeast,Distribution Center Management,171,338592.04386729916,36285.64872002097,68,62.022852056880915,132,None,Normal
2024-04-24,Northeast,Transportation Management,265,554508.6315410607,61722.85792910738,60,30.932886327375027,192,None,Normal
2023-04-06,Southeast,Freight Management,138,310464.6786123566,107812.0921573431,41,69.8870472774905,134,None,High
2023-12-13,Northeast,Dedicated Contract Carriage,116,297784.3672175782,63908.951197608556,45,81.13765952713172,174,Moderate,Normal
2023-08-11,Northwest,Freight Management,128,281692.4173880553,31030.938455895062,59,32.992107710355164,177,None,Normal
2024-07-08,Northwest,Freight Management,155,306494.25739278656,29034.924475171352,61,42.879580858203745,95,None,High
2023-04-06,Midwest,Transportation Management,327,400787.5823547604,98689.51946258865,88,79.0357069493153,179,Moderate,High
2024-10-17,Southeast,Distribution Center Management,174,366293.5151899721,66849.2621300485,55,76.7385386709677,104,None,High
2024-02-23,Northwest,Supply Chain Solutions,179,262751.16669795336,92854.90592509163,98,92.71151581107881,189,None,Low
2023-04-17,Northwest,Transportation Management,251,551763.3065817243,104107.19208022302,77,58.0053170238884,183,None,High
2024-12-21,Southeast,Freight Management,107,81336.09372091529,47423.35900893608,38,56.86808315000851,142,None,Low
2024-09-18,West,Freight Management,110,240298.94476400275,77463.8871997733,93,78.67404223333256,169,Moderate,Normal
2023-03-22,Midwest,Distribution Center Management,197,390452.3585187719,86263.14120508528,79,65.24046998333493,67,None,Normal
2024-10-18,West,Fleet Maintenance,118,249615.71767791957,22730.172634485567,54,70.75304106028496,182,None,High
2024-01-31,Northwest,Distribution Center Management,224,729782.447997111,93440.15319902044,39,74.10198754354977,92,None,High
2024-06-28,Northwest,Distribution Center Management,214,522568.9922800472,74493.09010913158,64,63.361916440951816,125,None,Low
2024-06-26,Midwest,Dedicated Contract Carriage,184,149981.17363293326,79220.15266179563,69,70.20159719027184,112,Moderate,Normal
2023-10-30,Northwest,Transportation Management,185,438843.6422610048,110649.89248956172,53,59.61464197061424,92,None,High
2023-03-31,Southeast,Transportation Management,186,458729.9821263412,39746.93928923455,32,59.23668610222889,156,Moderate,Normal
2023-06-10,Northeast,Fleet Maintenance,86,199930.73728865208,12658.91882782608,59,63.57351823990912,68,None,Normal
2024-05-04,Northwest,Freight Management,78,116338.26656624305,15868.77114003996,64,62.079736252664084,195,None,Normal
2024-02-11,Northwest,Transportation Management,72,170169.17783523738,36417.66062323289,45,71.16473935237826,90,None,Low
2024-09-02,Southwest,Dedicated Contract Carriage,107,130204.62468222778,56159.49508919429,44,73.99942100079599,137,None,High
2023-10-14,Northwest,Dedicated Contract Carriage,44,58549.94034288545,13519.377211397308,44,28.28648111170377,102,None,Normal
2023-02-10,Northeast,Dedicated Contract Carriage,175,357062.81972279836,43439.65940113032,25,56.418088475781715,52,Minor,Normal
2024-04-08,Southeast,Transportation Management,142,358027.3437238447,36121.464066629575,97,46.07424854107428,76,None,Normal
2023-08-24,Northeast,Transportation Management,195,230313.90753578075,109867.12017262568,61,87.43027549070884,105,None,Low
2023-03-18,Midwest,Dedicated Contract Carriage,167,335415.3146071948,77122.72701217719,33,46.3364121507526,66,None,Normal
2023-11-18,Northwest,Dedicated Contract Carriage,59,121321.38615084619,25480.63803836487,98,76.5467771352765,65,Severe,High
2024-11-20,West,Fleet Maintenance,146,426339.8975666692,128091.0505667293,82,41.33682957370052,66,None,Normal
2023-09-10,Southeast,Fleet Maintenance,75,142128.51462389893,26534.948722947556,25,48.07081317117024,136,None,Normal
2023-08-29,Midwest,Freight Management,111,214427.55800490026,29939.57239334751,55,60.64267857582472,122,Minor,Normal
2024-05-07,Southeast,Freight Management,241,489265.37884826335,37462.650051945326,44,44.388654261508655,105,None,Normal
2023-02-06,Southeast,Dedicated Contract Carriage,299,755230.0334896082,53711.15616164703,21,57.38076162285171,53,None,Normal
2024-12-18,Southwest,Supply Chain Solutions,182,396589.32934787957,91794.06214182416,54,66.19861738534546,50,None,Normal
2023-08-29,Northeast,Transportation Management,202,387310.4892051795,82468.89271530576,82,87.00279690677992,88,Severe,High
2023-06-25,Northwest,Transportation Management,84,251261.1219106454,41479.3057804431,28,39.917667479877124,56,None,Normal
2023-01-08,West,Distribution Center Management,63,62912.50056250936,34795.63763736593,77,77.16257716982196,69,Minor,High
2023-07-09,Northeast,Fleet Maintenance,67,162767.49154628086,35843.52298169828,80,60.64960720871275,89,None,Normal
2024-01-13,Midwest,Dedicated Contract Carriage,110,249208.92739696242,49023.67897017015,70,60.92127076061639,192,None,High
2023-04-06,Northeast,Supply Chain Solutions,116,204392.57292700864,42103.87790962985,20,31.428770850110872,80,Minor,Low
2024-01-19,Southeast,Transportation Management,197,340948.02189151675,73172.58028007929,44,53.52742107847257,59,None,High
2024-01-10,Northeast,Freight Management,165,398004.220006118,98594.14498872859,89,57.54957802783062,66,None,Normal
2024-10-29,Northeast,Transportation Management,70,127934.28619638595,35409.60779377478,97,77.81992335855911,75,Moderate,Normal
2024-05-21,Southwest,Distribution Center Management,219,352105.8499618807,42055.8957767402,53,68.69468743774168,182,None,Normal
2023-04-08,Southwest,Supply Chain Solutions,126,220104.34000801208,54474.21132118705,77,75.66278082315465,149,None,Low
2023-08-10,West,Distribution Center Management,108,268385.06894004147,23329.235912635744,28,74.68911758534446,169,None,High
2024-03-19,Northeast,Supply Chain Solutions,279,384436.55423106824,175934.33767245512,68,66.30561658366949,122,None,Normal
2024-02-29,West,Supply Chain Solutions,235,175861.3378156547,200448.56860571294,57,58.555987855548395,125,None,Normal
2024-05-11,Northeast,Transportation Management,104,123360.76292340284,42862.82291192078,82,47.325125844167125,92,None,Normal
2024-05-18,Northwest,Freight Management,119,207082.92103014048,56030.92155517131,87,31.887924783264797,169,Minor,Low
2023-02-11,Midwest,Fleet Maintenance,86,150958.1229399683,49647.49213716354,52,46.374634387457505,112,None,Normal
2023-06-25,Northwest,Fleet Maintenance,73,182160.2746065255,19503.5093124797,26,85.0502131927313,66,Moderate,Low
2023-07-16,Southeast,Fleet Maintenance,106,302178.50709038385,50986.847741854144,43,73.94648517556371,103,Minor,Normal
2023-05-24,Midwest,Distribution Center Management,124,320646.2958866809,56416.84758705131,73,52.87952350108077,178,Severe,Low
2024-11-08,Southeast,Transportation Management,134,379926.48463213467,49363.5292543571,62,43.496062621126185,146,Moderate,High
2023-05-13,Northwest,Freight Management,60,111863.05178720516,22670.457810029482,66,78.68016462150126,86,None,Low
2023-11-06,Southwest,Freight Management,136,367355.34680245374,47668.55427439838,36,50.969325304033774,51,None,Normal
2023-11-29,Northeast,Transportation Management,216,440964.90064371895,237771.5501890574,92,57.165514961649144,67,Minor,High
2024-02-07,Southeast,Freight Management,244,424790.05170273257,118082.90088848802,75,82.16428371654297,114,None,Normal
2023-08-06,West,Fleet Maintenance,76,107524.71687300243,49487.16378280522,34,52.5522683195163,165,None,High
2024-04-28,West,Distribution Center Management,105,171779.2974231208,33111.73303909182,82,70.14473286672808,177,Moderate,Normal
2023-01-03,Northeast,Distribution Center Management,283,343823.3076341587,46406.478993846395,82,47.35257362840136,164,None,High
2024-10-13,Northwest,Supply Chain Solutions,61,159738.38692562442,14140.640371362115,22,48.577056017862056,159,Minor,Normal
2023-11-04,West,Transportation Management,70,232162.272557829,28582.247127871567,93,71.63501024951695,152,None,Normal
2023-08-23,Northeast,Dedicated Contract Carriage,110,241489.1409773453,48156.35093578977,21,46.20695588494739,141,None,Low
2024-01-16,Midwest,Freight Management,227,563270.5318900942,39593.97129200749,89,54.64199549107106,50,None,Normal
2024-10-18,Northeast,Distribution Center Management,131,299425.69481111574,203839.15008490186,41,62.64851743411186,176,None,Normal
2024-11-17,Southeast,Dedicated Contract Carriage,89,222389.26464427725,41175.603867647165,72,79.05444114008425,117,None,Normal
2024-04-21,Northeast,Supply Chain Solutions,105,218468.93279338666,28450.780686933864,21,69.75317150052484,75,None,Normal
2023-09-12,Southwest,Supply Chain Solutions,115,213642.70032178905,103390.05817424976,68,91.58709647652603,144,Severe,Low
2024-01-31,West,Supply Chain Solutions,232,348062.7001729478,232761.6448074831,91,30.58958756106509,133,Severe,Normal
2024-02-18,Southeast,Transportation Management,135,354056.6416686977,28589.319213823193,78,48.32395315431874,52,Minor,Normal
2023-03-23,Northeast,Fleet Maintenance,196,605787.893713828,58868.96708228586,20,66.73981280733176,78,Minor,Normal
2024-11-11,Northwest,Transportation Management,71,131021.8874958322,39850.97639807574,70,33.123508693542846,163,None,Normal
2023-12-27,Northeast,Transportation Management,170,151138.8606747369,137448.211657121,87,87.58524659513792,146,None,Low
2023-04-11,Northeast,Distribution Center Management,226,404185.63768852706,252638.37864978064,32,38.9620056847819,52,None,Normal
2023-01-29,Northeast,Transportation Management,29,41199.21123189235,19705.914300899152,85,94.44179755762802,110,None,Normal
2023-04-05,Southeast,Freight Management,274,764880.8561887846,64214.96777193348,96,53.14147032237803,83,None,Normal
2023-01-16,Northeast,Fleet Maintenance,182,341399.1684347754,149098.4438381836,22,67.2183679249409,198,None,High
2024-03-23,West,Freight Management,137,166896.78344593287,37853.9691836844,57,82.90177496982348,182,Minor,Normal
2024-03-25,Southwest,Transportation Management,187,313131.14025479124,77914.63075538071,56,86.19452415028836,163,Moderate,Low
2024-10-17,Northwest,Freight Management,199,378150.2818702475,86477.10814541961,42,35.315377374158466,60,None,Normal
2024-07-08,Northeast,Dedicated Contract Carriage,173,217963.05811800782,44398.43513928551,72,91.54091648401422,82,Minor,High
2024-02-06,Northwest,Dedicated Contract Carriage,215,515449.636338114,118381.95688764735,20,38.08530623423513,132,Minor,Normal
2023-05-10,Northwest,Freight Management,277,694876.0382966056,82385.39392411828,57,52.70341318450092,181,None,High
2024-02-17,Northeast,Fleet Maintenance,99,188159.1853000865,43707.16925161724,88,72.7737066682614,192,Moderate,Normal
2024-03-05,Northeast,Freight Management,157,276051.30978752195,135851.41010275038,22,50.857939570041424,185,None,High
2024-07-28,Northwest,Dedicated Contract Carriage,67,139668.79421337985,23108.901460126315,52,54.23636565690712,66,None,High
2023-09-15,Southeast,Transportation Management,102,145829.77418826104,65722.65238337743,98,90.75850400219115,54,None,High
2023-10-05,Northwest,Distribution Center Management,120,285292.5451588643,25024.769119273627,74,31.486883588109766,166,None,Normal
2023-04-17,Northeast,Freight Management,199,455671.22209716786,85208.86474681864,93,67.00970614533817,187,None,High
2023-04-03,Southeast,Fleet Maintenance,324,600004.7857307649,228836.08972738025,90,69.59784114481641,134,Minor,Low
2024-06-17,Southeast,Freight Management,86,256862.3975760488,31569.38275482927,25,49.79573474339413,84,Moderate,Normal
2023-01-02,West,Supply Chain Solutions,253,663244.2458004496,108057.36828905003,93,88.02221492886108,192,None,Normal
2024-12-15,Northeast,Distribution Center Management,69,95891.4290454544,9115.041119158928,96,72.54029679687916,67,None,High
2023-02-11,Southeast,Fleet Maintenance,90,178477.35813416357,36852.704707988116,36,82.19117953016378,118,Moderate,Normal
2024-01-03,Midwest,Dedicated Contract Carriage,128,323673.44783590845,47441.63553864806,71,77.6149801837883,173,None,Normal
2024-12-19,Northeast,Distribution Center Management,168,331499.83176787186,117173.58754674158,37,58.741171287360736,108,None,Normal
2023-12-26,West,Supply Chain Solutions,153,308275.4195765681,18023.810725966752,24,85.9671242917286,158,None,Normal
2024-11-28,Southeast,Freight Management,176,395255.7958917592,62612.13899046188,23,47.75282857037683,52,None,Normal
2024-05-10,Northeast,Transportation Management,269,630766.6582728769,161923.09808669676,95,59.68106663006848,73,None,Normal
2024-05-10,Northeast,Distribution Center Management,220,504062.7857268748,138604.84640695294,92,55.46256623656014,136,None,High
2023-02-04,Northeast,Distribution Center Management,133,305972.3647781636,16990.638573800272,84,86.58275988615067,104,None,Normal
2023-07-11,Southwest,Supply Chain Solutions,130,211807.71156610956,49410.662396157335,41,86.5354711469294,100,None,Normal
2024-10-07,Southwest,Freight Management,124,331572.32612902747,36448.29265103751,75,53.109592389484206,188,Minor,Normal
2024-04-25,West,Freight Management,295,727457.5609434107,56617.71566785643,64,48.61889666550325,63,None,Normal
2023-09-15,Southeast,Transportation Management,131,333863.1770075367,47928.43689270147,89,59.895174177627155,182,None,High
2023-09-29,Southeast,Transportation Management,207,413438.7756722539,176643.01447049528,71,39.5276405969995,77,None,Low
2024-02-07,Northeast,Supply Chain Solutions,179,277006.8483313906,150842.6005904396,68,51.21495147411723,108,Moderate,Normal
2023-11-14,Southwest,Transportation Management,127,289163.47271298186,55652.176754415756,92,49.97503281871876,175,None,High
2023-12-30,Northeast,Distribution Center Management,101,149167.08850628595,39413.35944953285,39,82.20167208790984,121,None,Normal
2023-12-28,Midwest,Dedicated Contract Carriage,148,174554.72517995926,58049.35249120421,39,41.13894814407345,107,None,Normal
2024-07-29,Northeast,Freight Management,158,275832.34404906724,56878.243551353145,62,73.14579595060863,136,None,High
2024-06-19,Northwest,Fleet Maintenance,213,453329.4869454183,37277.19942191572,39,81.422929266802,164,None,Normal
2024-09-28,Midwest,Transportation Management,85,206930.8278027748,46857.36400763959,86,70.40236968351518,138,None,Normal
2024-06-21,Northeast,Transportation Management,170,251064.5546620964,73723.10351705774,39,87.05816212707973,134,None,Low
2023-10-12,Northwest,Distribution Center Management,92,139366.0836434405,61089.198667210665,34,46.69682483954672,118,None,Normal
2024-05-23,Southeast,Fleet Maintenance,237,530461.2095230089,93245.60064354996,24,79.32735143395689,173,Moderate,Normal
2023-04-23,Northwest,Transportation Management,80,77500.33595231413,31163.226078009946,64,61.78398691633286,62,Moderate,Normal
2024-05-09,Northeast,Distribution Center Management,308,626265.1660542175,276690.64702181506,62,69.75801339683532,159,None,Normal
2024-11-15,Midwest,Freight Management,138,253278.56941107634,34893.29269442783,66,76.9170186995082,198,Minor,Normal
2023-11-24,Northeast,Distribution Center Management,186,223151.32444108784,101220.43085358958,49,73.23660106503085,106,None,Low
2024-08-30,Southwest,Fleet Maintenance,116,272249.78290363017,37408.22263306323,63,71.9106089510264,159,None,Normal
2023-09-21,Southeast,Dedicated Contract Carriage,73,72971.8066342306,18527.876598519048,89,72.82066082057449,137,Moderate,Normal
2023-01-13,West,Transportation Management,116,242061.05402151187,38339.689091011205,67,49.93087923575942,195,None,Normal
2023-01-26,Northeast,Freight Management,194,296446.3820624376,62676.508797582195,70,34.03048366318116,165,Minor,Normal
2023-07-22,Midwest,Distribution Center Management,90,125835.3714644576,24643.466796292476,24,76.41072312504748,152,None,Normal
2024-02-18,Northeast,Distribution Center Management,82,247551.57748280102,33896.98510010974,37,56.50986498219977,105,Moderate,Normal
2024-12-05,Southwest,Dedicated Contract Carriage,160,266408.86555502506,108852.68926354768,72,77.93433252919768,107,Moderate,Normal
2024-04-09,Southwest,Dedicated Contract Carriage,264,402868.6888866224,60044.01424254169,81,54.68962685547584,50,None,Low
2023-07-27,Northwest,Distribution Center Management,127,293310.0189809504,24901.542583961807,71,81.5039021975943,180,None,Normal
2024-04-07,Midwest,Fleet Maintenance,157,277893.33228476683,38908.36454032485,56,38.20191980120317,109,Moderate,Low
2024-12-05,Southwest,Distribution Center Management,87,181945.9827991436,50552.5085884907,52,79.17961289584903,154,None,Normal
2023-02-15,Southeast,Freight Management,165,345485.2029152024,48754.75258467595,96,64.6345860736019,92,None,Normal
2023-10-18,Midwest,Fleet Maintenance,211,487145.57293547725,33001.820936962795,68,89.44984766531249,111,None,Low
2024-11-27,Midwest,Transportation Management,185,368150.0641681461,115390.77208574067,87,30.072961417520872,172,None,High
2024-04-10,Northeast,Dedicated Contract Carriage,206,417511.5069495982,30237.242317766933,36,9.923651749642671,97,None,Normal
2023-02-22,West,Dedicated Contract Carriage,317,490475.0799114131,149370.11838301804,24,61.98356837211955,139,Severe,Normal
2023-06-29,Northeast,Dedicated Contract Carriage,212,468609.6590817416,72120.60668588278,69,75.86359350334345,73,None,Normal
2023-08-24,Northwest,Supply Chain Solutions,126,227871.53078928863,104335.9532430113,92,66.87955088085393,58,None,Normal
2024-09-19,Southwest,Transportation Management,106,207048.30912547195,43568.08351941996,45,38.18051593852939,130,None,High
2024-09-08,Northwest,Dedicated Contract Carriage,73,176480.03733395544,79682.53983071518,80,71.40549198713161,101,None,Normal
