delivery_id,date,origin_region,destination_region,service_type,scheduled_time,actual_time,delay_minutes,weight_lbs,customer_id,driver_id,distance_miles,revenue,cost,on_time,profit_margin
DEL-1000010,2024-05-04,Northeast,Northwest,Expedited,2024-05-04 14:00:00,2024-05-04 13:58:00,-2,57.06922761623995,CUST-10404,DRV-928,493.42433918339947,865.7703651208459,631.0194611890126,True,0.27114684607975265
DEL-1000011,2023-06-23,Southeast,Midwest,FTL,2023-06-23 12:00:00,2023-06-23 12:11:00,11,28950.664188598246,CUST-10371,DRV-462,90.39172817114446,1921.6113883453734,1436.9352735458758,True,0.25222379391539396
DEL-1000012,2024-08-08,Southeast,Southeast,FTL,2024-08-08 18:00:00,2024-08-08 17:58:00,-2,34742.113094767505,CUST-10320,DRV-400,24.59329682852436,958.7279617535199,637.4257181889257,True,0.33513390281945077
DEL-1000013,2023-11-06,West,Southeast,LTL,2023-11-06 08:00:00,2023-11-06 07:48:00,-12,402.57757259195307,CUST-10030,DRV-702,49.487652923285225,1033.1045221699146,852.5693660494416,True,0.17475013635723924
DEL-1000014,2023-10-19,West,Northeast,FTL,2023-10-19 10:00:00,2023-10-19 09:34:00,-26,46236.00962665206,CUST-10166,DRV-633,421.46639283544005,736.7097772512391,543.9624252269974,True,0.2616326781265308
DEL-1000015,2024-01-24,Midwest,West,FTL,2024-01-24 15:00:00,2024-01-24 15:00:00,0,31876.48048064457,CUST-10297,DRV-399,82.58787120846601,1084.8043941617354,742.2128065222588,True,0.3158095500748857
DEL-1000016,2024-05-02,Northwest,Northeast,FTL,2024-05-02 15:00:00,2024-05-02 14:38:00,-22,12595.135926097908,CUST-10170,DRV-396,159.2760013327655,376.6645703348339,312.36286638718565,True,0.17071343845928386
DEL-1000017,2024-06-17,Southwest,West,LTL,2024-06-17 10:00:00,2024-06-17 09:56:00,-4,398.78894834904713,CUST-10349,DRV-710,815.9865622959892,583.4636182722594,465.3323790959216,True,0.20246547595571698
DEL-1000018,2024-06-12,Southeast,Midwest,LTL,2024-06-12 18:00:00,2024-06-12 17:50:00,-10,201.02034422726516,CUST-10258,DRV-982,564.8457926167762,522.3475471652305,361.9991239091303,True,0.30697650276393146
DEL-1000019,2024-05-24,Southwest,Midwest,White Glove,2024-05-24 18:00:00,2024-05-24 18:00:00,0,110.55655688938272,CUST-10490,DRV-550,85.5178679811124,179.00430892184036,123.06519146591025,True,0.3125015134711373
DEL-1000020,2024-09-02,Northeast,Midwest,LTL,2024-09-02 06:00:00,2024-09-02 06:10:00,10,494.6251956610658,CUST-10176,DRV-234,423.7850487446979,697.998370516265,460.63617598086995,True,0.34006124449808295
DEL-1000021,2024-05-18,Midwest,Northeast,FTL,2024-05-18 18:00:00,2024-05-18 17:31:00,-29,37268.230626713485,CUST-10204,DRV-741,229.11201464004458,90.24887721213024,60.92329408068922,True,0.3249412517621815
DEL-1000022,2023-11-04,Southwest,Northeast,LTL,2023-11-04 17:00:00,2023-11-04 17:01:00,1,183.00997757676282,CUST-10300,DRV-274,40.932880221736866,160.23251859487064,114.78935478980398,True,0.28360762349348345
DEL-1000023,2024-10-11,Southeast,Southeast,FTL,2024-10-11 06:00:00,2024-10-11 05:48:00,-12,46139.02000571074,CUST-10085,DRV-787,656.0704115799618,407.62475142114164,305.065097520444,True,0.25160310688478554
DEL-1000024,2024-09-05,Midwest,Southwest,LTL,2024-09-05 19:00:00,2024-09-05 19:52:00,52,449.09962363113544,CUST-10397,DRV-375,131.85860877326206,817.9995197727004,644.3647575962218,False,0.2122675600405327
DEL-1000025,2024-04-25,Northeast,Midwest,LTL,2024-04-25 14:00:00,2024-04-25 13:48:00,-12,1889.7257434537614,CUST-10257,DRV-798,286.76750581202396,513.0771601867555,381.9341441723142,True,0.2556009625661497
DEL-1000026,2023-01-24,Midwest,Northeast,Expedited,2023-01-24 15:00:00,2023-01-24 15:21:00,21,84.96057063557679,CUST-10022,DRV-848,218.2682292219717,60.73434887441572,49.09484490443834,False,0.19164614729047522
DEL-1000027,2023-03-24,Southwest,West,LTL,2023-03-24 06:00:00,2023-03-24 06:09:00,9,499.0425476523047,CUST-10400,DRV-703,413.7682476460075,2005.7279056195785,1573.7808337153458,True,0.2153567643417726
DEL-1000028,2024-04-24,Southwest,Southeast,FTL,2024-04-24 17:00:00,2024-04-24 16:58:00,-2,29159.973760660887,CUST-10090,DRV-812,272.1644800532535,159.34279218522596,135.34769904585562,True,0.1505878791899012
DEL-1000029,2024-12-15,Northeast,Midwest,LTL,2024-12-15 16:00:00,2024-12-15 16:11:00,11,218.85302153732326,CUST-10203,DRV-284,151.9972207594451,435.38258251396377,340.8112327873297,True,0.21721436163239477
DEL-1000030,2024-03-18,Northwest,West,LTL,2024-03-18 16:00:00,2024-03-18 16:00:00,0,20296.12015515738,CUST-10187,DRV-204,823.5240231871574,333.9150984772783,246.58783859647988,True,0.26152534066003225
DEL-1000031,2024-06-06,Northwest,Northwest,LTL,2024-06-06 11:00:00,2024-06-06 11:05:00,5,1269.1465199035745,CUST-10496,DRV-237,266.8340244042194,341.9887341282841,286.4401950728259,True,0.1624279793808099
DEL-1000032,2024-06-14,Midwest,Northeast,LTL,2024-06-14 12:00:00,2024-06-14 13:26:00,86,113.44458150751352,CUST-10066,DRV-429,324.7362076669295,93.2971266118142,72.74508818813283,False,0.22028586699345226
DEL-1000033,2023-12-24,Northwest,Southeast,Expedited,2023-12-24 15:00:00,2023-12-24 15:02:00,2,290.3497266334525,CUST-10489,DRV-416,343.3149535303348,181.82822870568359,128.95962044426224,True,0.2907612785856104
DEL-1000034,2024-10-17,Southeast,West,LTL,2024-10-17 12:00:00,2024-10-17 12:01:00,1,138.8608084077425,CUST-10291,DRV-761,404.6898833717646,204.10925898122588,145.1600803822056,True,0.2888118789576443
DEL-1000035,2023-06-12,Northeast,Midwest,LTL,2023-06-12 16:00:00,2023-06-12 16:06:00,6,71.31907016999494,CUST-10311,DRV-455,140.3613077102076,2395.128133042408,1818.6163389771575,True,0.24070185895772403
DEL-1000036,2024-06-30,Southwest,Southeast,Expedited,2024-06-30 10:00:00,2024-06-30 10:10:00,10,1751.9560919923974,CUST-10246,DRV-804,107.94599234444104,175.77612039080054,141.18483336172332,True,0.19679173116445456
DEL-1000037,2024-12-07,Northwest,Midwest,White Glove,2024-12-07 11:00:00,2024-12-07 10:59:00,-1,2002.4888804141513,CUST-10401,DRV-597,216.40990145962118,765.0164130447455,545.4378642572251,True,0.28702462462681483
DEL-1000038,2024-12-20,Southwest,Northwest,White Glove,2024-12-20 10:00:00,2024-12-20 09:53:00,-7,502.9887781490582,CUST-10091,DRV-289,252.53679616136827,525.4917763711877,399.6297591301349,True,0.23951281999158933
DEL-1000039,2024-01-19,Northeast,West,Expedited,2024-01-19 11:00:00,2024-01-19 10:52:00,-8,62.66355209345294,CUST-10195,DRV-181,129.81940307422016,109.63789457939222,76.87669189099528,True,0.2988127673746374
DEL-1000040,2023-11-25,Midwest,West,FTL,2023-11-25 08:00:00,2023-11-25 08:01:00,1,39411.25603562568,CUST-10238,DRV-705,73.2425661257332,275.1548020072582,208.599209923159,True,0.24188417428507583
DEL-1000041,2024-05-01,Northeast,Midwest,FTL,2024-05-01 10:00:00,2024-05-01 10:01:00,1,31441.656233935555,CUST-10051,DRV-335,77.12134090623088,60.60089514816676,40.37241356146402,True,0.3337983958363141
DEL-1000042,2023-01-23,Southwest,Midwest,LTL,2023-01-23 17:00:00,2023-01-23 17:03:00,3,242.20418252347062,CUST-10262,DRV-509,186.92005359335056,112.48946326159856,92.09949646471321,True,0.18126112620404009
DEL-1000043,2023-09-27,Southeast,Southeast,FTL,2023-09-27 10:00:00,2023-09-27 09:57:00,-3,27292.730692962505,CUST-10437,DRV-181,454.8829127581329,559.2785791984414,378.1019228102031,True,0.32394706882552315
DEL-1000044,2023-01-06,West,Southeast,LTL,2023-01-06 06:00:00,2023-01-06 06:59:00,59,798.9575100550675,CUST-10427,DRV-617,50.958072332137235,586.0747032217606,493.3535276493961,False,0.15820709384428153
DEL-1000045,2023-05-23,Northeast,Northwest,LTL,2023-05-23 06:00:00,2023-05-23 05:48:00,-12,407.86860664335916,CUST-10209,DRV-397,107.71034028901856,1735.8826896118203,1435.6722331668311,True,0.17294397728692285
DEL-1000046,2023-04-25,Southeast,Northeast,FTL,2023-04-25 12:00:00,2023-04-25 11:57:00,-3,37279.99450138792,CUST-10215,DRV-984,291.8223453399118,373.46285264681194,274.31545928421,True,0.26548127252797143
DEL-1000047,2024-08-23,Southeast,Southwest,White Glove,2024-08-23 13:00:00,2024-08-23 12:57:00,-3,217.37046410842734,CUST-10139,DRV-199,124.92037228428143,253.54695974757175,191.67277621097855,True,0.2440344131840286
DEL-1000048,2023-01-17,Midwest,Midwest,LTL,2023-01-17 12:00:00,2023-01-17 12:18:00,18,309.78736883351877,CUST-10011,DRV-217,55.07895609309918,337.11521652799655,268.8707800621607,False,0.20243653540381892
DEL-1000049,2024-05-28,Southwest,Southeast,Expedited,2024-05-28 11:00:00,2024-05-28 10:42:00,-18,174.39039595599723,CUST-10072,DRV-765,220.0628253066449,225.5214233277688,161.8260876947708,True,0.2824358532910833
DEL-1000050,2024-04-09,Midwest,Southwest,FTL,2024-04-09 13:00:00,2024-04-09 12:44:00,-16,34481.82976206147,CUST-10214,DRV-341,275.3494711311515,599.9762124763902,399.9062048491356,True,0.33346323315297705
DEL-1000051,2024-08-27,Northeast,Southeast,LTL,2024-08-27 07:00:00,2024-08-27 07:10:00,10,790.8526110870888,CUST-10253,DRV-475,93.98718788287542,112.80091580904283,95.35452139231347,True,0.15466536146092838
DEL-1000052,2024-02-25,Northeast,West,Expedited,2024-02-25 18:00:00,2024-02-25 17:24:00,-36,56.551416637081076,CUST-10009,DRV-154,360.0935784081354,258.6553387604071,178.47384098595722,True,0.30999359285880485
DEL-1000053,2024-12-08,Northeast,Northwest,Expedited,2024-12-08 11:00:00,2024-12-08 10:57:00,-3,63.2755205454566,CUST-10012,DRV-145,50.47430028600483,445.32771585190096,375.02843388800073,True,0.15785966033894708
DEL-1000054,2023-02-13,Southwest,Northeast,Expedited,2023-02-13 10:00:00,2023-02-13 10:36:00,36,555.3866938074326,CUST-10242,DRV-566,275.20132303403363,3427.208232850248,2654.6620318014,False,0.22541560026726398
DEL-1000055,2023-10-10,West,West,FTL,2023-10-10 12:00:00,2023-10-10 11:49:00,-11,36867.34664660943,CUST-10398,DRV-620,125.44245945277436,1275.5844617792554,990.8539037850833,True,0.22321576228438397
DEL-1000056,2023-02-05,West,Northwest,LTL,2023-02-05 16:00:00,2023-02-05 16:13:00,13,1068.0889973635778,CUST-10159,DRV-304,618.3480835297745,610.0837778639263,456.66893076862254,True,0.251465212912974
DEL-1000057,2023-04-01,Southwest,West,LTL,2023-04-01 12:00:00,2023-04-01 12:23:00,23,952.2357880312786,CUST-10332,DRV-408,404.1739768570786,496.4620830027975,381.7549329818053,False,0.23104916558218971
DEL-1000058,2023-08-15,Southeast,Northeast,LTL,2023-08-15 15:00:00,2023-08-15 14:56:00,-4,152.38453152203206,CUST-10438,DRV-484,43.395397821216314,528.2661436994636,346.8939659227106,True,0.3433348510782807
DEL-1000059,2024-11-24,Northwest,Southwest,LTL,2024-11-24 16:00:00,2024-11-24 16:26:00,26,333.07011078261695,CUST-10089,DRV-295,178.56586431157308,1228.5578491172632,946.903560027735,False,0.22925602509633627
DEL-1000060,2023-06-21,Southwest,Midwest,LTL,2023-06-21 07:00:00,2023-06-21 07:02:00,2,47.39733062412519,CUST-10037,DRV-138,150.72063826707398,169.7981518057505,127.68827755292271,True,0.24799960308756241
DEL-1000061,2023-03-18,West,Southwest,LTL,2023-03-18 15:00:00,2023-03-18 15:25:00,25,390.24702758687886,CUST-10467,DRV-394,421.48844358663405,153.75851204079785,128.07620375900242,False,0.1670301561905136
DEL-1000062,2023-01-13,Northwest,Southeast,LTL,2023-01-13 19:00:00,2023-01-13 18:45:00,-15,669.9812841981941,CUST-10129,DRV-117,52.906974942284,2148.338667637458,1419.0089617001925,True,0.33948544376353573
DEL-1000063,2023-04-07,Southeast,West,White Glove,2023-04-07 19:00:00,2023-04-07 18:58:00,-2,257.09478296955126,CUST-10163,DRV-559,446.09996805533774,765.8088754637131,617.8439520098713,True,0.1932139051852148
DEL-1000064,2024-06-01,Northwest,Midwest,Expedited,2024-06-01 17:00:00,2024-06-01 16:51:00,-9,219.1747886584458,CUST-10194,DRV-202,193.37751838580346,335.0010036096311,232.93648172777054,True,0.3046693018292983
DEL-1000065,2024-06-13,Midwest,Northwest,LTL,2024-06-13 06:00:00,2024-06-13 06:17:00,17,948.6371000466397,CUST-10319,DRV-916,1129.2901303343508,106.75663754313378,84.22753354068982,False,0.21103234909718224
DEL-1000066,2024-08-29,Southeast,Northeast,LTL,2024-08-29 08:00:00,2024-08-29 08:04:00,4,664.3129981953067,CUST-10006,DRV-296,30.698929712215573,220.0827238504774,183.94549970683656,True,0.1641983682835197
DEL-1000067,2023-02-17,Northeast,Southwest,LTL,2023-02-17 18:00:00,2023-02-17 18:52:00,52,576.2298668328483,CUST-10158,DRV-227,208.32835046208413,982.168101551722,659.8023565883977,False,0.32821850399541624
DEL-1000068,2024-04-27,Southwest,West,FTL,2024-04-27 07:00:00,2024-04-27 06:45:00,-15,18703.390762620795,CUST-10180,DRV-459,217.85922595077446,662.9004609750407,461.44700568138774,True,0.3038969908051369
DEL-1000069,2023-06-24,Northeast,Northeast,Expedited,2023-06-24 15:00:00,2023-06-24 14:55:00,-5,333.36252413490985,CUST-10357,DRV-323,65.01662159929184,1431.0506975457872,1184.2505313575066,True,0.17246081261239463
DEL-1000070,2024-01-12,Southeast,West,FTL,2024-01-12 08:00:00,2024-01-12 08:15:00,15,30802.363802666114,CUST-10383,DRV-593,204.76738629100203,765.0700543967309,499.83537787132997,True,0.34668024843103085
DEL-1000071,2023-04-12,Midwest,Northwest,White Glove,2023-04-12 07:00:00,2023-04-12 06:52:00,-8,132.26799839726172,CUST-10014,DRV-248,345.4188135261849,680.9592809205545,508.6148542997927,True,0.2530906493965074
DEL-1000072,2024-03-23,Southeast,West,FTL,2024-03-23 08:00:00,2024-03-23 08:03:00,3,32909.56809721852,CUST-10254,DRV-154,455.55786837604234,1223.4092790865993,808.5614157163267,True,0.3390916437056936
DEL-1000073,2023-09-30,Northwest,Southeast,LTL,2023-09-30 10:00:00,2023-09-30 09:57:00,-3,180.41990112800872,CUST-10082,DRV-852,105.84722326603091,672.1615045481755,529.65016353156,True,0.2120194924170956
DEL-1000074,2024-07-21,West,Northwest,FTL,2024-07-21 16:00:00,2024-07-21 16:06:00,6,35989.83367631959,CUST-10438,DRV-655,18.327822769342323,922.3550441000034,632.6626300377723,True,0.3140790695679463
DEL-1000075,2024-12-04,Northeast,Northeast,LTL,2024-12-04 16:00:00,2024-12-04 16:02:00,2,209.80220905097497,CUST-10309,DRV-932,58.692753793617115,239.96496714786636,156.45546867846664,True,0.3480070422860566
DEL-1000076,2023-04-21,Southeast,Southeast,FTL,2023-04-21 14:00:00,2023-04-21 13:45:00,-15,41815.00377322472,CUST-10001,DRV-189,225.6804695834627,234.37098011251777,164.39044596210877,True,0.2985887336256923
DEL-1000077,2023-01-01,Southeast,Southwest,FTL,2023-01-01 08:00:00,2023-01-01 07:30:00,-30,40643.0345499637,CUST-10125,DRV-366,1064.4679461825824,1201.642262167567,900.7128777908372,True,0.2504317581456416
DEL-1000078,2023-06-23,Northwest,Southeast,FTL,2023-06-23 14:00:00,2023-06-23 13:55:00,-5,35913.998549913646,CUST-10286,DRV-597,62.88846864679798,202.16969812787463,166.22365822069744,True,0.1778013235417748
DEL-1000079,2023-04-18,Northwest,Midwest,FTL,2023-04-18 18:00:00,2023-04-18 18:10:00,10,29691.169626890714,CUST-10129,DRV-490,271.8191718895019,511.269900979441,424.246678672043,True,0.1702099461374264
DEL-1000080,2023-07-06,Midwest,Northwest,LTL,2023-07-06 18:00:00,2023-07-06 17:54:00,-6,407.2816113963248,CUST-10363,DRV-100,594.1540107322693,356.26395872584646,259.7949929530876,True,0.2707794695757984
DEL-1000081,2024-12-15,Southeast,Northeast,LTL,2024-12-15 09:00:00,2024-12-15 09:03:00,3,649.0329706422638,CUST-10470,DRV-279,256.67514787383413,315.02809717176575,222.9112737276265,True,0.2924082780905524
DEL-1000082,2023-11-12,Southeast,Southwest,Expedited,2023-11-12 16:00:00,2023-11-12 15:55:00,-5,38.2020660517293,CUST-10279,DRV-242,17.758770365079666,88.84178456177915,70.2155650638393,True,0.20965607106853498
DEL-1000083,2024-12-10,Midwest,Southeast,LTL,2024-12-10 18:00:00,2024-12-10 17:55:00,-5,177.9318576475835,CUST-10226,DRV-600,205.15366661804646,172.65417900176587,137.16545111818874,True,0.205548038795019
DEL-1000084,2023-03-20,Northeast,West,White Glove,2023-03-20 08:00:00,2023-03-20 08:01:00,1,368.5311506185705,CUST-10065,DRV-195,242.48192006903028,1296.3841672262029,999.1343390530374,True,0.22929146752013604
DEL-1000085,2023-11-09,West,Northeast,LTL,2023-11-09 07:00:00,2023-11-09 07:15:00,15,138.03097414223538,CUST-10277,DRV-557,176.65729750574812,261.07774939797474,174.8559722041428,True,0.33025325747848194
DEL-1000086,2023-11-25,Southeast,Northwest,Expedited,2023-11-25 10:00:00,2023-11-25 09:38:00,-22,1223.1092450565754,CUST-10351,DRV-802,161.3747575976744,340.38202735642886,269.21111594654735,True,0.20909127301059097
DEL-1000087,2024-04-12,Midwest,Southwest,FTL,2024-04-12 13:00:00,2024-04-12 12:57:00,-3,25608.911292838646,CUST-10210,DRV-526,144.40237509518678,26.4843558739088,21.617894078923168,True,0.18374854265494342
DEL-1000088,2023-09-26,Northwest,West,FTL,2023-09-26 10:00:00,2023-09-26 09:58:00,-2,36190.656165890075,CUST-10178,DRV-241,123.61918993349707,738.463930384736,494.64588470314317,True,0.33016920075509293
DEL-1000089,2024-07-24,Northwest,Southwest,Expedited,2024-07-24 14:00:00,2024-07-24 13:43:00,-17,369.59382608657774,CUST-10277,DRV-499,25.231127685450804,303.4917567052655,245.84713311516015,True,0.18993802077493213
DEL-1000090,2023-09-28,Northeast,Southwest,FTL,2023-09-28 19:00:00,2023-09-28 19:28:00,28,18679.318697515246,CUST-10218,DRV-484,21.422429086216773,1462.7218102987467,1139.9882702771886,False,0.220639042741588
DEL-1000091,2024-02-14,Northwest,Midwest,Expedited,2024-02-14 07:00:00,2024-02-14 07:40:00,40,487.65396987406143,CUST-10245,DRV-249,62.02967779905825,959.0270670389092,710.3001666876099,False,0.25935336853345353
DEL-1000092,2024-03-16,Midwest,West,LTL,2024-03-16 16:00:00,2024-03-16 15:38:00,-22,120.64107452510119,CUST-10333,DRV-563,34.531698580021235,153.6967260786307,110.69907569189543,True,0.2797564494948176
DEL-1000093,2023-08-11,Southeast,Northwest,LTL,2023-08-11 11:00:00,2023-08-11 11:00:00,0,2440.865995201311,CUST-10328,DRV-403,12.685540109034571,284.67760540752806,193.2965108605847,True,0.3209985359267282
DEL-1000094,2024-05-21,Northwest,West,FTL,2024-05-21 13:00:00,2024-05-21 13:16:00,16,25082.98458095603,CUST-10013,DRV-267,63.20175262402061,488.53740066460745,407.618046269948,False,0.16563594575272342
DEL-1000095,2024-12-22,Southeast,Southeast,FTL,2024-12-22 13:00:00,2024-12-22 13:02:00,2,18077.698433970138,CUST-10151,DRV-381,886.074897048988,65.9553909031077,52.82508541615652,True,0.19907857882671579
DEL-1000096,2024-07-10,Midwest,Southeast,LTL,2024-07-10 16:00:00,2024-07-10 15:48:00,-12,84.61794124872229,CUST-10082,DRV-318,490.26662737173416,760.8454201254863,634.0250000325623,True,0.16668355586869077
DEL-1000097,2024-07-26,Midwest,Southeast,White Glove,2024-07-26 08:00:00,2024-07-26 08:21:00,21,367.1235625976683,CUST-10079,DRV-994,522.2758673569895,207.13935227764384,168.79148386054524,False,0.185130773054162
DEL-1000098,2024-07-15,Midwest,Midwest,Expedited,2024-07-15 12:00:00,2024-07-15 12:12:00,12,147.79599952856543,CUST-10409,DRV-942,32.401770131570395,458.0385904704502,337.8251881123336,True,0.26245256373408565
DEL-1000099,2023-08-07,Midwest,West,White Glove,2023-08-07 11:00:00,2023-08-07 10:43:00,-17,992.8233179729265,CUST-10426,DRV-499,199.38348174099823,184.11608084400876,128.98493451370268,True,0.29943688828036485
DEL-1000100,2024-01-06,Southwest,Northwest,FTL,2024-01-06 19:00:00,2024-01-06 19:02:00,2,38241.01194116671,CUST-10042,DRV-435,939.380304899334,89.231356975547,71.08578614626651,True,0.2033541957033457
DEL-1000101,2024-04-27,Midwest,Northeast,White Glove,2024-04-27 13:00:00,2024-04-27 12:54:00,-6,255.25691552849634,CUST-10398,DRV-854,156.06187801229925,334.18116132724504,265.74253331269784,True,0.20479499126382247
DEL-1000102,2024-02-20,Southeast,Southwest,FTL,2024-02-20 14:00:00,2024-02-20 15:29:00,89,33762.305652743664,CUST-10277,DRV-395,393.8723528340479,412.08744258273424,340.49653462964903,False,0.17372746789951504
DEL-1000103,2024-04-30,Midwest,Northeast,FTL,2024-04-30 16:00:00,2024-04-30 15:55:00,-5,36785.125820537534,CUST-10272,DRV-701,379.4889904059427,627.1373880979962,482.21292754989565,True,0.2310888543699052
DEL-1000104,2024-01-22,Southeast,Southwest,LTL,2024-01-22 06:00:00,2024-01-22 06:28:00,28,178.73140185695695,CUST-10352,DRV-197,668.0948670351908,296.69977430396676,239.98372927732967,False,0.19115634705044268
DEL-1000105,2023-05-14,Southeast,Northwest,LTL,2023-05-14 11:00:00,2023-05-14 10:56:00,-4,593.3522237363103,CUST-10302,DRV-147,85.40802020166363,234.000842968628,168.63396200885936,True,0.2793446388076997
DEL-1000106,2023-04-01,Northeast,Southwest,LTL,2023-04-01 17:00:00,2023-04-01 17:10:00,10,141.45045511354863,CUST-10304,DRV-399,70.31944229026332,154.39887180764137,112.76673357547931,True,0.269640171231495
DEL-1000107,2024-12-16,Midwest,Northeast,FTL,2024-12-16 08:00:00,2024-12-16 08:00:00,0,27801.41526365678,CUST-10030,DRV-776,17.428887802073973,532.7827088182364,416.889123082527,True,0.21752505067736258
DEL-1000108,2024-01-10,Midwest,West,LTL,2024-01-10 08:00:00,2024-01-10 08:03:00,3,486.1117625541915,CUST-10235,DRV-225,32.01792037075119,110.1412405471202,71.94046931042935,True,0.3468344014188577
DEL-1000109,2024-07-02,Midwest,Southwest,FTL,2024-07-02 08:00:00,2024-07-02 08:16:00,16,21049.961869245242,CUST-10075,DRV-402,290.3655700854471,84.12194436639685,62.97536136979114,False,0.2513801024914597
DEL-1000110,2023-01-04,Northeast,Northeast,FTL,2023-01-04 13:00:00,2023-01-04 16:24:00,204,41387.19625687781,CUST-10096,DRV-528,126.68388840336,114.28825923946182,96.67864327196399,False,0.1540807085931844
DEL-1000111,2024-12-28,Midwest,West,Expedited,2024-12-28 17:00:00,2024-12-28 17:24:00,24,302.30425415111944,CUST-10371,DRV-925,37.221561219180046,147.55995240749672,116.22399166659805,False,0.21236087589918917
DEL-1000112,2024-08-18,Midwest,Northwest,FTL,2024-08-18 08:00:00,2024-08-18 07:57:00,-3,38052.68573641294,CUST-10448,DRV-385,140.11763869320205,1243.213333243388,811.632290960791,True,0.34714962488107814
DEL-1000113,2024-11-09,Northwest,Northwest,Expedited,2024-11-09 14:00:00,2024-11-09 13:41:00,-19,681.5888991997504,CUST-10381,DRV-139,108.14111987480166,598.150974932876,408.5871207713373,True,0.3169164008849294
DEL-1000114,2023-09-19,Northeast,Southeast,White Glove,2023-09-19 16:00:00,2023-09-19 16:14:00,14,243.56370421223042,CUST-10310,DRV-120,115.52964461630911,505.5637381422193,367.2205056506677,True,0.27364152539879055
DEL-1000115,2023-03-09,West,Northwest,White Glove,2023-03-09 14:00:00,2023-03-09 13:56:00,-4,32.35153350212615,CUST-10035,DRV-944,465.5126494931102,103.57409144496779,84.06311456749583,True,0.18837700244601
DEL-1000116,2024-08-25,Southwest,Midwest,LTL,2024-08-25 10:00:00,2024-08-25 09:48:00,-12,234.70595866953278,CUST-10472,DRV-241,172.2324565332096,257.71114108674345,201.9369908200905,True,0.21642118393274987
DEL-1000117,2024-04-01,Northeast,West,FTL,2024-04-01 07:00:00,2024-04-01 06:57:00,-3,34667.835090420616,CUST-10387,DRV-984,106.03298197590529,63.874418282899285,51.36176391829202,True,0.19589461166110067
DEL-1000118,2023-04-09,Northeast,Northeast,FTL,2023-04-09 17:00:00,2023-04-09 18:16:00,76,26726.859866084735,CUST-10011,DRV-270,155.3881917951224,158.53647970005923,133.98990897347994,False,0.15483231854914284
DEL-1000119,2024-08-07,Northwest,Southwest,FTL,2024-08-07 19:00:00,2024-08-07 18:51:00,-9,37385.1554607359,CUST-10499,DRV-133,421.57013955156174,197.49999642685515,157.19934772262943,True,0.20405392118146806
DEL-1000120,2023-03-28,Southeast,Northwest,FTL,2023-03-28 07:00:00,2023-03-28 07:13:00,13,43819.95252205065,CUST-10414,DRV-860,1596.4151272037645,989.7193882920861,819.6725103816801,True,0.17181322294175544
DEL-1000121,2024-01-08,Southeast,Southwest,FTL,2024-01-08 11:00:00,2024-01-08 11:00:00,0,44117.648271564685,CUST-10276,DRV-749,66.08048742983657,500.0981534124606,332.5993216354637,True,0.3349319141333655
