vehicle_id,date,region,service_type,miles_driven,fuel_consumed,load_capacity_used,driver_id,on_time_deliveries,total_deliveries,on_time_rate
VH-2403,2024-07-20,West,Dedicated Contract Carriage,440.290341464326,53.791704224376595,96.09085097758772,DRV-612,10,11,0.9090909090909091
VH-2426,2023-09-01,Southeast,Fleet Maintenance,248.33579695570444,31.563173128779326,56.46220907685547,DRV-480,8,9,0.8888888888888888
VH-9855,2024-05-19,Southwest,Supply Chain Solutions,221.5466185590182,29.191699045931163,76.78684173451389,DRV-763,6,9,0.6666666666666666
VH-6868,2023-05-11,Northeast,Dedicated Contract Carriage,625.5256803021132,103.36379032114552,93.46093774936502,DRV-407,6,8,0.75
VH-1010,2024-04-29,Southwest,Transportation Management,482.8426225036386,55.497964856057834,91.66718380563663,DRV-500,8,10,0.8
VH-7330,2024-10-08,Southeast,Supply Chain Solutions,395.8094143741537,49.53804737655455,87.71504135192379,DRV-901,6,8,0.75
VH-3825,2023-01-21,Midwest,Fleet Maintenance,446.8174624507243,63.15855329816044,45.23011225746003,DRV-319,7,8,0.875
VH-8464,2023-06-16,Northwest,Distribution Center Management,437.4998749885239,48.78528126065236,83.91246662941411,DRV-826,3,6,0.5
VH-4003,2023-10-01,West,Dedicated Contract Carriage,458.11081280872816,64.93310927648581,51.78469256781748,DRV-596,5,8,0.625
VH-8195,2024-01-23,Northeast,Dedicated Contract Carriage,587.7297236095576,73.35176642638058,78.99613203943284,DRV-950,5,6,0.8333333333333334
VH-7720,2024-08-23,West,Distribution Center Management,514.2524713745058,81.64429925089932,72.35299274706657,DRV-383,7,9,0.7777777777777778
VH-4088,2023-11-12,West,Fleet Maintenance,400.84989792308625,47.14807591845467,92.6334240453917,DRV-842,4,5,0.8
VH-2789,2023-01-14,West,Freight Management,240.13437156059368,29.513419729375265,58.29006690791322,DRV-247,7,8,0.875
VH-4036,2023-08-30,West,Transportation Management,329.7226478634024,50.0079228042536,43.95335351164159,DRV-112,6,8,0.75
VH-8377,2023-12-12,Southeast,Freight Management,541.014737124342,67.50134329779151,38.59447346438376,DRV-209,7,10,0.7
VH-8598,2024-07-18,West,Distribution Center Management,637.4517149870189,98.91613854734223,85.3768468560738,DRV-175,3,4,0.75
VH-5838,2023-12-06,Northwest,Transportation Management,344.64644676230637,38.325278751473505,78.46530990663906,DRV-754,8,9,0.8888888888888888
VH-6872,2023-04-02,West,Fleet Maintenance,326.5065568108088,52.47376415323207,93.89499881666836,DRV-285,4,8,0.5
VH-4653,2024-01-02,Southeast,Supply Chain Solutions,398.11406665461436,53.42815773881369,85.37914459557535,DRV-772,4,7,0.5714285714285714
VH-5299,2024-03-30,Southwest,Supply Chain Solutions,664.1287431745375,75.09696872219267,66.24140733115,DRV-347,5,9,0.5555555555555556
VH-1973,2024-03-03,Southeast,Freight Management,467.724241647971,58.76362123866425,95.80656030326345,DRV-391,5,7,0.7142857142857143
VH-8083,2024-05-23,Northwest,Fleet Maintenance,358.52853821149336,51.2904313038478,77.84964341092883,DRV-447,5,7,0.7142857142857143
VH-6494,2023-02-04,Northwest,Transportation Management,406.66415996440116,51.25416331524984,52.722887318729676,DRV-796,11,13,0.8461538461538461
VH-4406,2023-07-25,Midwest,Freight Management,386.6177444759227,47.16405246130567,81.88259144250722,DRV-847,10,11,0.9090909090909091
VH-6150,2023-03-22,Southeast,Distribution Center Management,534.4959950555885,71.72517877093448,46.46208038218644,DRV-617,3,4,0.75
VH-4129,2024-07-15,Southwest,Freight Management,684.4178082850977,98.53808114905101,61.382387400633164,DRV-793,3,4,0.75
VH-1104,2024-01-23,Midwest,Fleet Maintenance,465.69982235038776,51.99322644533012,86.77549955731926,DRV-220,6,9,0.6666666666666666
VH-8433,2023-01-02,Midwest,Fleet Maintenance,581.2506074504438,78.35512392873048,82.44625529569602,DRV-742,6,9,0.6666666666666666
VH-8689,2024-01-25,Northeast,Supply Chain Solutions,288.47180854426676,43.98096663488624,75.38587322481645,DRV-777,5,8,0.625
VH-4567,2024-07-19,West,Distribution Center Management,730.9206692289633,88.8977553212661,51.96071830345894,DRV-275,6,7,0.8571428571428571
VH-5348,2023-04-16,Midwest,Supply Chain Solutions,289.3104784134009,41.58353108639511,82.05676097374771,DRV-834,4,5,0.8
VH-5390,2024-04-21,Midwest,Transportation Management,595.4216201009228,90.38965493192248,52.07844648634612,DRV-976,5,6,0.8333333333333334
VH-7811,2024-12-03,Northwest,Transportation Management,490.6345698554538,62.9908821087439,63.938605463180096,DRV-652,6,7,0.8571428571428571
VH-2181,2024-02-06,Southwest,Dedicated Contract Carriage,299.027450773588,44.4230404416514,37.55990513648377,DRV-411,5,7,0.7142857142857143
VH-5644,2024-12-30,Midwest,Fleet Maintenance,550.1342644402262,75.54818488108214,82.29329359698497,DRV-506,2,3,0.6666666666666666
VH-6873,2024-07-09,Southwest,Distribution Center Management,446.510318251043,56.832807966497256,45.743723381350634,DRV-935,10,13,0.7692307692307693
VH-5394,2023-06-11,West,Distribution Center Management,340.5932356632321,43.22001032160722,88.10223441214221,DRV-776,2,3,0.6666666666666666
VH-4534,2023-07-21,Northwest,Supply Chain Solutions,451.28806678563694,65.83818436462947,78.13902479645624,DRV-794,4,6,0.6666666666666666
VH-6844,2023-09-27,Northeast,Freight Management,252.01718292589655,32.90124193954533,83.41589981515368,DRV-926,3,5,0.6
VH-6939,2023-09-28,Northeast,Freight Management,392.11704065287677,57.31749953556426,68.50571149856309,DRV-377,7,11,0.6363636363636364
VH-7475,2024-03-31,West,Supply Chain Solutions,334.2680078921174,41.56899077931047,83.4627210368836,DRV-526,6,7,0.8571428571428571
VH-2774,2024-04-06,West,Freight Management,428.1132282663268,58.343131096046285,39.92536733609066,DRV-872,5,8,0.625
VH-9283,2024-12-27,Northwest,Distribution Center Management,242.3063045013672,38.07069922182668,95.33667609645565,DRV-303,4,10,0.4
VH-1446,2023-09-09,Northwest,Supply Chain Solutions,235.08293542290693,34.93433975328663,99.1151845027154,DRV-456,8,10,0.8
VH-1108,2024-12-02,Southeast,Freight Management,348.1087438688204,41.05173389947787,49.973899100816986,DRV-224,9,11,0.8181818181818182
VH-4239,2023-10-23,Midwest,Dedicated Contract Carriage,445.40303283170954,59.22290463862143,42.31152008443999,DRV-544,6,7,0.8571428571428571
VH-6931,2024-12-25,Midwest,Fleet Maintenance,333.20955184941613,52.95491448222894,75.9233109737993,DRV-925,8,10,0.8
VH-5053,2024-12-20,Midwest,Dedicated Contract Carriage,505.3855258507439,73.20487999859648,79.69509091852206,DRV-305,6,8,0.75
VH-5537,2023-12-04,Southwest,Freight Management,534.2506043341026,70.14911358318933,79.52265280700428,DRV-222,7,10,0.7
VH-7361,2023-02-22,Southeast,Transportation Management,348.7035971332871,42.92722849006336,44.56867097782235,DRV-193,5,6,0.8333333333333334
VH-2245,2023-08-05,Midwest,Distribution Center Management,616.8563372069387,85.71673698792405,76.03662678450178,DRV-378,7,9,0.7777777777777778
VH-3720,2023-07-07,Southwest,Dedicated Contract Carriage,413.65194723908337,50.54618496745618,90.537448587576,DRV-866,5,7,0.7142857142857143
VH-9469,2024-01-15,Southwest,Dedicated Contract Carriage,669.7839666075772,87.24969124974432,82.10343316626303,DRV-389,6,7,0.8571428571428571
VH-8741,2024-05-07,Northeast,Supply Chain Solutions,418.84511471871787,49.77737611229599,84.95101544884777,DRV-776,9,10,0.9
VH-6105,2023-02-10,Southwest,Supply Chain Solutions,315.4036489435904,38.52791038220661,87.74537442715668,DRV-697,4,7,0.5714285714285714
VH-3922,2023-06-06,West,Supply Chain Solutions,597.3709632470336,80.67714079637136,37.82682511155304,DRV-738,5,7,0.7142857142857143
VH-3513,2023-01-15,Northwest,Freight Management,325.0316789212931,40.610477466418786,83.79178429057465,DRV-146,4,7,0.5714285714285714
VH-3801,2023-03-06,Southwest,Transportation Management,586.5245120989682,68.32653705054126,77.57401164175559,DRV-614,8,11,0.7272727272727273
VH-7981,2024-06-04,West,Dedicated Contract Carriage,464.4750701126233,51.68218788236756,66.34000386662157,DRV-951,9,12,0.75
VH-9221,2023-12-10,West,Fleet Maintenance,383.2936393999777,63.42928501604756,77.00538136090216,DRV-639,4,5,0.8
VH-7502,2023-05-09,Northeast,Supply Chain Solutions,357.78859276326654,55.02138095775832,79.71156540154958,DRV-913,6,9,0.6666666666666666
VH-7038,2024-10-09,Northeast,Transportation Management,439.6505618233445,51.47914975021726,49.2578487265968,DRV-437,8,12,0.6666666666666666
VH-7229,2024-04-16,Southwest,Freight Management,531.5818096292389,78.12066141718232,78.61077722520737,DRV-938,10,13,0.7692307692307693
VH-1364,2023-03-04,Northeast,Transportation Management,445.18920901532863,66.2889327723188,84.33846257844849,DRV-645,7,8,0.875
VH-2800,2023-05-19,Northeast,Supply Chain Solutions,627.5410229571132,86.03996866205591,49.60816073066022,DRV-465,4,5,0.8
VH-6958,2024-05-13,Northwest,Distribution Center Management,308.9075153369513,35.196647284808726,72.27527145087178,DRV-142,6,8,0.75
VH-8436,2024-08-15,Midwest,Dedicated Contract Carriage,438.40640713435323,66.96725103445038,55.610761428721666,DRV-623,6,7,0.8571428571428571
VH-5793,2024-01-27,Southwest,Supply Chain Solutions,582.0792160902131,85.42050826798516,41.68151040624497,DRV-389,6,8,0.75
VH-9160,2024-11-05,Southwest,Fleet Maintenance,305.53211244276406,35.90107869890716,60.21911157635687,DRV-465,2,4,0.5
VH-1179,2024-02-23,Southwest,Dedicated Contract Carriage,574.8316638882906,68.76010866449725,92.72698391454831,DRV-312,0,1,0.0
VH-4873,2023-10-16,Northeast,Transportation Management,452.37552078618194,57.26724613938244,91.54135713413238,DRV-840,5,9,0.5555555555555556
VH-4960,2024-01-14,Northwest,Fleet Maintenance,463.2142130833272,56.06890744906461,76.31659893532911,DRV-355,3,4,0.75
VH-2186,2024-05-04,Northeast,Dedicated Contract Carriage,409.2536236451168,59.92474245427473,75.15633235013357,DRV-585,4,5,0.8
VH-1773,2023-08-19,West,Fleet Maintenance,304.9244109617482,38.20307139928969,81.81737639046327,DRV-773,3,7,0.42857142857142855
VH-5460,2023-02-10,Southeast,Transportation Management,440.54289286008105,57.03067874880728,49.23768425915989,DRV-913,6,8,0.75
VH-1352,2023-01-28,Southeast,Supply Chain Solutions,383.3059434893638,45.364925057316576,99.18268399354714,DRV-818,9,10,0.9
VH-7943,2023-05-15,Southeast,Fleet Maintenance,632.9166900503516,104.46756612928337,47.30268196736286,DRV-897,4,7,0.5714285714285714
VH-6202,2023-07-20,Midwest,Supply Chain Solutions,511.250713751561,83.77126385676225,51.4250587777046,DRV-353,6,7,0.8571428571428571
VH-6344,2023-02-02,Northeast,Transportation Management,454.1398558880736,59.916638001393395,79.19497911805277,DRV-300,7,8,0.875
VH-5507,2023-02-17,West,Transportation Management,608.1286975027906,71.79717696913801,74.80539736137177,DRV-373,5,8,0.625
VH-5830,2024-05-17,West,Fleet Maintenance,443.26653660799803,57.83842661591559,89.22851620513536,DRV-820,5,6,0.8333333333333334
VH-1117,2024-02-11,Southeast,Fleet Maintenance,534.3456739393389,75.45543606979689,71.46228049207585,DRV-567,5,6,0.8333333333333334
VH-1481,2024-07-27,Northwest,Transportation Management,589.7054158265471,72.97593896941542,62.713789410014506,DRV-101,4,7,0.5714285714285714
VH-5287,2024-12-28,Midwest,Fleet Maintenance,417.32801135418066,53.063674173512844,73.0891731147632,DRV-666,5,7,0.7142857142857143
VH-7802,2023-04-09,Midwest,Fleet Maintenance,502.19294605704016,82.33883679094471,81.22456800526106,DRV-647,9,11,0.8181818181818182
VH-9298,2024-11-14,Southeast,Fleet Maintenance,397.5970796026065,58.828456244909134,64.69615600324991,DRV-467,2,3,0.6666666666666666
VH-5477,2024-12-26,Southeast,Freight Management,587.5419675771423,91.45775979833758,79.4139353623251,DRV-677,7,9,0.7777777777777778
VH-7533,2024-06-30,Northeast,Fleet Maintenance,446.73077732076473,53.482944683580875,52.73947507451724,DRV-221,4,7,0.5714285714285714
VH-1243,2024-09-04,Northwest,Dedicated Contract Carriage,614.4743874938155,83.62405021422913,68.88152941478623,DRV-216,8,9,0.8888888888888888
VH-8012,2024-04-06,Midwest,Transportation Management,473.8628574939148,77.28171850380538,65.80386856842556,DRV-579,4,5,0.8
VH-1865,2024-10-04,West,Transportation Management,755.5034848313484,90.91677014265372,75.57045092427512,DRV-124,7,8,0.875
VH-6329,2023-01-05,Southeast,Distribution Center Management,365.1416266537832,44.43687671850706,57.00288055249959,DRV-401,9,11,0.8181818181818182
VH-1603,2023-08-06,Northeast,Supply Chain Solutions,553.1642438878814,76.72250535739802,58.458916746260655,DRV-439,6,10,0.6
VH-6756,2024-05-17,West,Distribution Center Management,444.82165246834614,74.10894613924631,88.46669905246596,DRV-670,6,7,0.8571428571428571
VH-5018,2024-02-02,Midwest,Fleet Maintenance,422.9865810349578,68.75746968039422,85.37271630280866,DRV-548,10,13,0.7692307692307693
VH-6192,2024-01-28,Southeast,Fleet Maintenance,222.23529893865526,32.77984497603443,17.403237433130425,DRV-187,5,7,0.7142857142857143
VH-3015,2023-07-26,Northwest,Dedicated Contract Carriage,458.7338305532349,51.977644792079914,76.32909769196901,DRV-689,6,7,0.8571428571428571
VH-4380,2023-01-15,Southeast,Dedicated Contract Carriage,333.087363744801,55.06392772360761,34.9881939993458,DRV-333,3,4,0.75
VH-4770,2024-07-07,Northwest,Dedicated Contract Carriage,412.8375096074436,56.873099976880766,70.40458694146076,DRV-109,6,11,0.5454545454545454
VH-6829,2024-04-05,Northeast,Dedicated Contract Carriage,337.8047486777679,53.39515333917752,72.78678510957776,DRV-792,5,7,0.7142857142857143
VH-2613,2024-11-21,Northeast,Dedicated Contract Carriage,353.86083872236304,45.64424869941621,97.46606793240844,DRV-833,7,8,0.875
VH-2879,2024-07-28,Midwest,Dedicated Contract Carriage,321.2791173023715,37.8367374185237,64.71254092437995,DRV-363,5,7,0.7142857142857143
VH-6372,2023-08-29,Northwest,Dedicated Contract Carriage,322.5171840400706,49.30083076755759,68.86596613432327,DRV-675,9,10,0.9
VH-5108,2024-07-17,Southeast,Dedicated Contract Carriage,259.0595872843203,36.28115179271223,52.4865505880707,DRV-609,5,6,0.8333333333333334
VH-9978,2023-04-06,Northeast,Freight Management,495.14557725897373,71.27032219095808,77.04771636442067,DRV-260,6,9,0.6666666666666666
VH-1148,2024-04-29,Southeast,Dedicated Contract Carriage,452.1716834941973,64.67229930216601,93.28909145239905,DRV-821,5,8,0.625
VH-2754,2024-02-11,Midwest,Transportation Management,534.9350514655872,65.44312313035107,60.669906451423586,DRV-449,4,7,0.5714285714285714
VH-8378,2023-08-19,Northwest,Dedicated Contract Carriage,402.9729103804359,63.74744735931993,68.97908146993413,DRV-499,6,9,0.6666666666666666
VH-7681,2024-10-16,Southeast,Supply Chain Solutions,370.8296492373881,49.055529985687244,75.25913509842711,DRV-823,6,9,0.6666666666666666
VH-4756,2023-06-20,West,Dedicated Contract Carriage,439.4560718464751,69.30161060334216,49.28653847432077,DRV-966,6,7,0.8571428571428571
VH-6392,2024-06-24,Southeast,Freight Management,534.2039800773937,62.20248784992841,50.411440104097814,DRV-262,11,13,0.8461538461538461
VH-4052,2023-02-05,Southwest,Fleet Maintenance,485.9807848985572,62.9791816667081,68.73337424466239,DRV-863,6,7,0.8571428571428571
VH-6692,2024-06-08,Southwest,Freight Management,451.5528681204473,58.14460039175981,90.96667913883358,DRV-684,7,8,0.875
VH-5218,2023-06-09,Midwest,Freight Management,529.7259671348195,62.54050825554909,66.46898588960359,DRV-748,5,7,0.7142857142857143
VH-5803,2024-11-29,Midwest,Fleet Maintenance,450.60595859664335,65.15950649462093,95.93138439084883,DRV-475,2,4,0.5
VH-3377,2023-08-31,Midwest,Dedicated Contract Carriage,379.016826417127,43.53388487261755,91.2452324930734,DRV-462,2,3,0.6666666666666666
VH-6086,2023-03-27,West,Dedicated Contract Carriage,558.904824959176,86.73024896704646,96.44450725042394,DRV-195,6,8,0.75
VH-4182,2024-07-31,Northwest,Fleet Maintenance,300.1966244439411,35.79298492439863,94.80646527823,DRV-465,3,7,0.42857142857142855
VH-4160,2024-11-12,West,Supply Chain Solutions,279.55772579352765,39.240070040448906,85.46120282976302,DRV-881,10,11,0.9090909090909091
VH-7576,2024-07-10,Southeast,Distribution Center Management,447.00693558912843,71.05031392693546,87.39562786553128,DRV-155,8,10,0.8
VH-9903,2024-07-27,Northeast,Transportation Management,460.3000058050981,59.44574016749574,86.6292417583314,DRV-263,6,9,0.6666666666666666
VH-3586,2024-10-07,Northwest,Fleet Maintenance,477.9627500862353,59.12729263960092,67.66530362638248,DRV-707,5,6,0.8333333333333334
VH-3648,2023-01-28,Southwest,Dedicated Contract Carriage,410.6863560941381,48.59854224036542,55.917604249187605,DRV-766,5,7,0.7142857142857143
VH-8313,2024-09-11,Southwest,Transportation Management,612.3702360828179,98.65601032518171,55.543245291786256,DRV-855,6,7,0.8571428571428571
VH-2717,2024-07-09,Southwest,Dedicated Contract Carriage,270.17471356830754,44.83506918139303,51.26169167450573,DRV-479,7,8,0.875
VH-6308,2023-12-06,Southeast,Distribution Center Management,466.1981225424409,71.8104513567315,77.9926001626545,DRV-120,6,8,0.75
VH-8407,2023-11-27,Southeast,Distribution Center Management,541.0375399186576,76.04221753624024,89.19925446084073,DRV-683,6,7,0.8571428571428571
VH-1870,2024-10-01,Midwest,Fleet Maintenance,616.1222083249655,81.81337531910654,48.605332431899335,DRV-721,7,10,0.7
VH-4574,2024-05-20,Northeast,Transportation Management,610.1193272793053,101.5153100389449,80.82435250192079,DRV-752,4,5,0.8
VH-6827,2023-12-14,Midwest,Freight Management,318.45757484654786,47.3834430883075,33.52710075041443,DRV-867,4,7,0.5714285714285714
VH-8986,2024-04-17,Southeast,Transportation Management,493.45658650735,71.24377884003007,54.15829106585978,DRV-869,3,5,0.6
VH-9462,2023-08-19,West,Freight Management,424.3146109106175,61.004288747295234,69.73339243733179,DRV-167,4,7,0.5714285714285714
VH-9741,2023-07-09,Midwest,Distribution Center Management,447.7261726221484,60.20704156129055,81.45347287318987,DRV-162,3,4,0.75
VH-6769,2023-08-13,Northwest,Dedicated Contract Carriage,586.071599902868,93.21279797810938,74.60497974670446,DRV-845,12,14,0.8571428571428571
VH-6733,2024-01-20,Southeast,Freight Management,677.9915422180197,81.74118147637981,67.67787212478746,DRV-834,4,7,0.5714285714285714
VH-4240,2024-01-12,Southeast,Freight Management,481.3092954997197,66.98860641519424,53.02906948598992,DRV-416,6,8,0.75
VH-5893,2023-10-10,West,Fleet Maintenance,211.71267444621355,30.747062727154244,89.17337921911532,DRV-967,4,5,0.8
VH-1886,2024-09-24,West,Supply Chain Solutions,249.79252887410075,40.58236787167356,74.50882144476533,DRV-756,7,9,0.7777777777777778
VH-6854,2024-09-19,West,Distribution Center Management,444.4200368021429,60.028334164803184,94.25309265988273,DRV-270,3,7,0.42857142857142855
VH-6318,2023-09-16,Northeast,Freight Management,569.7077462849094,64.9460677994332,40.792404299625886,DRV-550,5,8,0.625
VH-3258,2023-12-25,Northwest,Distribution Center Management,355.74774201130003,49.86571336562254,70.8539691061014,DRV-165,3,4,0.75
VH-5382,2024-12-10,Southeast,Fleet Maintenance,427.0589578076909,50.517504680419755,69.3471592423624,DRV-688,2,4,0.5
VH-2785,2024-03-31,West,Dedicated Contract Carriage,644.1490202264642,89.93712855935297,20.946254589337492,DRV-670,2,4,0.5
VH-8727,2024-02-15,Northeast,Transportation Management,402.4223927371144,46.097271316962555,97.03783108559296,DRV-349,5,6,0.8333333333333334
VH-1295,2024-10-10,Southwest,Distribution Center Management,660.3419674899001,95.6930477752025,70.98427506312719,DRV-315,2,4,0.5
VH-3597,2023-11-14,Northwest,Fleet Maintenance,398.36683698051485,58.49906756182032,90.78730917541364,DRV-698,4,6,0.6666666666666666
VH-1680,2024-11-07,Southwest,Fleet Maintenance,558.5124277947722,66.36137506253368,68.72750504588863,DRV-138,3,4,0.75
VH-5890,2023-08-13,Southwest,Fleet Maintenance,459.2224238632575,60.834431631885906,40.56858923483057,DRV-709,5,9,0.5555555555555556
VH-5298,2023-08-22,Southeast,Transportation Management,543.1961288710897,65.76221463832317,71.71782130469705,DRV-704,5,9,0.5555555555555556
VH-1324,2024-11-14,Northeast,Distribution Center Management,691.0369249080056,78.54055427291358,70.86732310003116,DRV-260,2,5,0.4
VH-8952,2024-10-25,Northeast,Freight Management,500.36047618034456,76.57662520018553,65.28574722265465,DRV-661,14,15,0.9333333333333333
VH-1986,2024-01-09,Southwest,Fleet Maintenance,601.3288317346187,85.28430157338612,67.16015063134921,DRV-957,9,10,0.9
VH-4118,2024-11-02,Northwest,Transportation Management,342.6442293647936,50.017271408237185,89.0478287209508,DRV-244,3,5,0.6
VH-1760,2024-08-30,Midwest,Dedicated Contract Carriage,338.22866440451,48.04362156448582,39.61397786565639,DRV-687,8,10,0.8
VH-8758,2024-04-16,Southwest,Supply Chain Solutions,254.10797466070423,39.99210227337654,50.05692929637512,DRV-265,7,9,0.7777777777777778
VH-1906,2023-08-21,Southeast,Distribution Center Management,323.3223832297635,47.83768487383784,73.39510387793071,DRV-864,9,11,0.8181818181818182
VH-6499,2024-11-22,Southwest,Transportation Management,632.0719982448439,86.4746341691316,69.29761401102917,DRV-284,6,8,0.75
VH-1364,2023-04-23,Northwest,Supply Chain Solutions,489.77545781227263,77.03380188555694,45.21686384814044,DRV-571,3,5,0.6
VH-8769,2024-05-11,Northwest,Supply Chain Solutions,417.9117509651536,48.201241064805956,90.11874745869945,DRV-105,5,7,0.7142857142857143
VH-4413,2024-03-17,Southwest,Transportation Management,474.5034015451873,55.79678271314341,80.01723761731441,DRV-506,8,10,0.8
VH-9027,2024-07-17,Northeast,Freight Management,531.6235865304577,70.5569998713073,72.24497789929697,DRV-662,5,8,0.625
VH-8939,2023-09-25,Southwest,Freight Management,543.4207181261264,87.95065333383661,87.76948674889651,DRV-173,6,7,0.8571428571428571
VH-4081,2024-05-24,West,Transportation Management,476.2292874267759,72.28814596145347,73.39610306878541,DRV-741,9,10,0.9
VH-6448,2024-01-21,West,Transportation Management,615.9260919226505,72.86961469759869,90.80677860258764,DRV-331,7,9,0.7777777777777778
